City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severo-kurilsk,50.6789,156.125,-9.21,77,100,9.72,RU,1673992960
1,nikolskoye,59.7035,30.7861,0.94,97,100,4.63,RU,1673992961
2,rikitea,-23.1203,-134.9692,25.84,70,100,2.19,PF,1673992962
3,trairi,-3.2778,-39.2689,25.81,78,10,4.82,BR,1673992792
4,nyagan,62.1406,65.3936,-12.73,86,52,3.25,RU,1673992963
5,caala,-12.8525,15.5606,15.69,94,97,1.05,AO,1673992965
6,thiers,45.8333,3.5,3.18,92,80,2.35,FR,1673992966
7,yellowknife,62.456,-114.3525,-13.78,97,94,2.24,CA,1673992966
8,broken hill,-31.95,141.4333,26.56,48,44,8.08,AU,1673992967
9,tura,25.5198,90.2201,10.13,48,0,1.38,IN,1673992968
10,longyearbyen,78.2186,15.6401,-8.09,57,0,7.72,SJ,1673992969
11,albany,42.6001,-73.9662,0.49,79,100,0.29,US,1673992814
12,busselton,-33.65,115.3333,12.93,65,51,6.17,AU,1673992858
13,punta arenas,-53.15,-70.9167,17.84,42,100,9.07,CL,1673992872
14,tuatapere,-46.1333,167.6833,18.92,57,13,1.12,NZ,1673992973
15,colares,38.7992,-9.4469,11.81,76,98,10.73,PT,1673992974
16,tautira,-17.7333,-149.15,26.81,76,15,5.82,PF,1673992975
17,te anau,-45.4167,167.7167,19.24,58,35,0.99,NZ,1673992976
18,mahebourg,-20.4081,57.7,25.7,83,89,8.79,MU,1673992977
19,kaeo,-35.1,173.7833,21.0,58,39,3.9,NZ,1673992977
20,souillac,-20.5167,57.5167,25.17,84,94,7.98,MU,1673992978
21,ribeira grande,38.5167,-28.7,14.32,91,37,5.36,PT,1673992979
22,provideniya,64.3833,-173.3,-22.94,59,0,5.0,RU,1673992859
23,vostok,46.4856,135.8833,-22.63,99,100,1.52,RU,1673992981
24,conde,-7.2597,-34.9075,24.95,81,100,4.11,BR,1673992982
25,qaanaaq,77.484,-69.3632,-27.49,83,77,2.89,GL,1673992983
26,jamestown,42.097,-79.2353,8.3,60,100,3.6,US,1673992788
27,hilo,19.7297,-155.09,25.9,90,35,4.02,US,1673992700
28,ancud,-41.8697,-73.8203,17.0,67,96,2.57,CL,1673992986
29,port alfred,-33.5906,26.891,24.54,96,96,1.8,ZA,1673992860
30,vaini,-21.2,-175.2,29.09,74,75,2.57,TO,1673992989
31,jashpurnagar,22.9,84.15,9.99,51,0,2.38,IN,1673992990
32,panjab,34.388,67.0233,-14.39,84,100,1.97,AF,1673992991
33,mataura,-46.1927,168.8643,19.17,56,17,1.3,NZ,1673992992
34,noumea,-22.2763,166.4572,27.78,99,100,4.46,NC,1673992718
35,alice springs,-23.7,133.8833,31.23,40,40,2.06,AU,1673992995
36,leningradskiy,69.3833,178.4167,-34.53,98,93,3.1,RU,1673992996
37,saint-philippe,-21.3585,55.7679,25.77,80,98,6.79,RE,1673992997
38,marsh harbour,26.5412,-77.0636,21.37,58,7,3.13,BS,1673992999
39,bambous virieux,-20.3428,57.7575,25.68,83,89,8.79,MU,1673993000
40,lorengau,-2.0226,147.2712,26.94,78,100,1.76,PG,1673993001
41,beringovskiy,63.05,179.3167,-26.45,96,100,6.91,RU,1673993002
42,codrington,-38.2667,141.9667,15.84,85,100,5.75,AU,1673993004
43,isangel,-19.55,169.2667,26.06,83,100,2.06,VU,1673993005
44,barra do corda,-5.5,-45.25,21.92,96,100,2.0,BR,1673993006
45,namibe,-15.1961,12.1522,23.43,77,99,3.26,AO,1673993007
46,padang,-0.9492,100.3543,24.03,91,100,1.87,ID,1673992814
47,mecca,21.4267,39.8261,20.85,50,90,2.18,SA,1673992730
48,ponta do sol,32.6667,-17.1,17.35,77,18,2.75,PT,1673993010
49,puerto ayora,-0.7393,-90.3518,29.98,91,77,1.34,EC,1673992740
50,guerrero negro,27.9769,-114.0611,16.87,55,1,10.88,MX,1673993012
51,georgetown,5.4112,100.3354,24.97,73,20,2.06,MY,1673992832
52,avarua,-21.2078,-159.775,28.03,74,100,4.63,CK,1673993014
53,khatanga,71.9667,102.5,-39.22,100,37,2.26,RU,1673993015
54,bengkulu,-3.8004,102.2655,23.96,89,100,2.44,ID,1673993015
55,nicoya,10.1483,-85.452,30.98,49,25,1.44,CR,1673993016
56,iqaluit,63.7506,-68.5145,-24.06,63,100,2.51,CA,1673993017
57,cape town,-33.9258,18.4232,24.65,74,0,3.6,ZA,1673992766
58,elko,41.0002,-115.5012,-0.7,67,100,7.15,US,1673993019
59,sao joao da barra,-21.6403,-41.0511,26.05,87,5,5.74,BR,1673993021
60,krasnozerskoye,53.9828,79.2374,-19.95,98,6,2.9,RU,1673993022
61,petropavlovsk-kamchatskiy,53.0452,158.6483,-20.67,71,0,6.0,RU,1673992998
62,thompson,55.7435,-97.8558,-14.84,97,98,0.62,CA,1673993024
63,stephenville,32.2207,-98.2023,26.07,20,0,2.06,US,1673992851
64,bluff,-46.6,168.3333,15.66,66,62,2.83,NZ,1673993025
65,pangnirtung,66.1451,-65.7125,-26.03,72,100,1.22,CA,1673993026
66,lebu,-37.6167,-73.65,16.76,72,4,5.48,CL,1673993027
67,mar del plata,-38.0023,-57.5575,23.24,95,100,2.68,AR,1673992836
68,atuona,-9.8,-139.0333,25.72,77,26,8.01,PF,1673993029
69,peniche,39.3558,-9.3811,11.98,80,99,16.17,PT,1673993030
70,balabac,7.9868,117.0645,25.86,80,99,1.08,PH,1673993031
71,ushuaia,-54.8,-68.3,14.79,61,100,4.04,AR,1673993032
72,olafsvik,64.8945,-23.7142,-3.89,67,67,6.67,IS,1673993033
73,faya,18.3851,42.4509,10.29,78,15,1.37,SA,1673992970
74,guymon,36.6828,-101.4816,16.0,36,40,7.2,US,1673993035
75,hermanus,-34.4187,19.2345,23.22,85,51,4.58,ZA,1673993036
76,bredasdorp,-34.5322,20.0403,21.06,93,88,3.42,ZA,1673993037
77,kapaa,22.0752,-159.319,27.49,66,0,4.63,US,1673993010
78,kodiak,57.79,-152.4072,1.6,98,100,4.67,US,1673992846
79,east london,-33.0153,27.9116,24.23,93,83,1.08,ZA,1673992839
80,eyl,7.9803,49.8164,23.32,74,83,6.94,SO,1673993041
81,lagoa,39.05,-27.9833,13.86,73,80,6.57,PT,1673993043
82,pedernales,18.0384,-71.744,25.74,62,7,1.29,DO,1673993044
83,salalah,17.0151,54.0924,22.05,73,0,1.03,OM,1673993045
84,banjarmasin,-3.3244,114.591,24.08,91,99,1.12,ID,1673993046
85,kavieng,-2.5744,150.7967,26.62,78,100,2.58,PG,1673993048
86,goundi,9.3627,17.366,25.45,20,100,1.85,TD,1673993049
87,santiago,-33.4569,-70.6483,29.05,35,0,7.2,CL,1673992538
88,nikel,69.4128,30.222,-7.9,91,14,3.94,RU,1673993051
89,taltal,-25.4,-70.4833,21.76,69,0,3.78,CL,1673992826
90,mitchell,43.7094,-98.0298,-3.83,82,100,4.63,US,1673993053
91,acuexcomac,19.0333,-98.3833,21.56,30,40,6.17,MX,1673993054
92,upernavik,72.7868,-56.1549,-22.51,95,100,1.61,GL,1673993056
93,saldanha,-33.0117,17.9442,18.0,94,72,4.94,ZA,1673993058
94,bethel,41.3712,-73.414,6.22,60,100,1.54,US,1673993060
95,manta,-0.95,-80.7333,28.88,70,75,4.63,EC,1673993062
96,areosa,41.7178,-8.8571,8.72,70,100,12.48,PT,1673993064
97,tepic,21.5,-104.9,23.72,50,100,5.14,MX,1673993065
98,tzaneen,-23.8332,30.1635,21.05,80,75,0.76,ZA,1673993066
99,bani walid,31.7566,13.9942,13.29,30,0,6.19,LY,1673993067
100,new norfolk,-42.7826,147.0587,18.73,67,100,0.89,AU,1673993068
101,tyup,42.7276,78.3648,-12.23,77,15,2.25,KG,1673993069
102,yopal,5.3378,-72.3959,27.94,53,99,1.93,CO,1673993070
103,lalibela,12.0333,39.0333,13.51,46,32,3.35,ET,1673993071
104,myjava,48.7588,17.5687,2.43,100,100,2.28,SK,1673993073
